"offset [um]","PinCount []","Freq [GHz]","dB(St(VCC_moving_T1,VCC_moving_T1)) []"
-100,0,0.1,-4.10787565471924
-100,0,0.2,-4.11104397732906
-100,0,0.3,-4.11045333149038
-100,0,0.4,-4.10656019166984
-100,0,0.5,-4.09921107939301
-100,0,0.6,-4.08801195249063
-100,0,0.7,-4.07245242643477
-100,0,0.8,-4.05193839526089
-100,0,0.9,-4.02580911235883
-100,0,1,-3.99335509466336
-100,0,1.1,-3.95384011134737
-100,0,1.2,-3.9065280931186
-100,0,1.3,-3.85071508865426
-100,0,1.4,-3.78576574827086
-100,0,1.5,-3.71115305593826
-100,0,1.6,-3.62649922310079
-100,0,1.7,-3.53161491597483
-100,0,1.8,-3.42653346047627
-100,0,1.9,-3.31153648901723
-100,0,2,-3.1871677840831
-100,0,2.1,-3.05423286789976
-100,0,2.2,-2.91378313555405
-100,0,2.3,-2.767084860511
-100,0,2.4,-2.6155749980178
-100,0,2.5,-2.46080708923082
-100,0,2.6,-2.30439153115063
-100,0,2.7,-2.14793487222712
-100,0,2.8,-1.99298259975541
-100,0,2.9,-1.84096919269189
-100,0,3,-1.69317816734049
-100,0,3.1,-1.55071363620718
-100,0,3.2,-1.41448372033451
-100,0,3.3,-1.28519513220925
-100,0,3.4,-1.16335748435636
-100,0,3.5,-1.04929540118454
-100,0,3.6,-0.943166317066202
-100,0,3.7,-0.844981879713632
-100,0,3.8,-0.75463108719604
-100,0,3.9,-0.671903603480639
-100,0,4,-0.596512056961408
-100,0,4.1,-0.528112487864671
-100,0,4.2,-0.466322434237272
-100,0,4.3,-0.410736418064419
-100,0,4.4,-0.360938803551774
-100,0,4.5,-0.316514149091523
-100,0,4.6,-0.277055273048002
-100,0,4.7,-0.242169306601748
-100,0,4.8,-0.21148202773245
-100,0,4.9,-0.184640767422903
-100,0,5,-0.161316159957127
-100,0,5.1,-0.141202981936848
-100,0,5.2,-0.124020292119145
-100,0,5.3,-0.109511052040577
-100,0,5.4,-0.0974413759986918
-100,0,5.5,-0.0875995308150011
-100,0,5.6,-0.0797947810678697
-100,0,5.7,-0.0738561544830952
-100,0,5.8,-0.0696311845668568
-100,0,5.9,-0.0669846734283095
-100,0,6,-0.0657975064796461
-100,0,6.1,-0.0659655418783902
-100,0,6.2,-0.0673985909676949
-100,0,6.3,-0.0700195011990804
-100,0,6.4,-0.0737633496883783
-100,0,6.5,-0.0785767536176916
-100,0,6.6,-0.0844173027617728
-100,0,6.7,-0.0912531195996733
-100,0,6.8,-0.0990625535753057
-100,0,6.9,-0.107834018191735
-100,0,7,-0.117565982884282
-100,0,7.1,-0.12826713629138
-100,0,7.2,-0.13995674397308
-100,0,7.3,-0.152665232606284
-100,0,7.4,-0.166435045091036
-100,0,7.5,-0.181321828521563
-100,0,7.6,-0.197396042057992
-100,0,7.7,-0.214745108519422
-100,0,7.8,-0.233476288097381
-100,0,7.9,-0.253720536421548
-100,0,8,-0.275637740070952
-100,0,8.1,-0.299423933082427
-100,0,8.2,-0.325321446395605
-100,0,8.3,-0.353633536665988
-100,0,8.4,-0.384746090514593
-100,0,8.5,-0.419160923815279
-100,0,8.6,-0.457548864267453
-100,0,8.7,-0.500838110265102
-100,0,8.8,-0.550368551144855
-100,0,8.9,-0.608175557947194
-100,0,9,-0.677538365503698
-100,0,9.1,-0.764066330683299
-100,0,9.2,-0.877603973888264
-100,0,9.3,-1.03128825799654
-100,0,9.4,-1.17157809640907
-100,0,9.5,-0.731774639149983
-100,0,9.6,-0.304115633815211
-100,0,9.7,-0.388439508738502
-100,0,9.8,-0.646527937597757
-100,0,9.9,-2.16789990877222
-100,0,10,-1.62196715192229
-100,0,10.1,-1.59169147549258
-100,0,10.2,-1.7111165970447
-100,0,10.3,-1.90142535690953
-100,0,10.4,-2.15058000673683
-100,0,10.5,-2.46472616414138
-100,0,10.6,-2.8602291686266
-100,0,10.7,-3.36412260322586
-100,0,10.8,-4.01838352314753
-100,0,10.9,-4.8876438904927
-100,0,11,-6.0677541546067
-100,0,11.1,-7.66582840422592
-100,0,11.2,-9.5353790038347
-100,0,11.3,-10.0856590078293
-100,0,11.4,-7.54363105129458
-100,0,11.5,-4.35675326553646
-100,0,11.6,-2.24327712265454
-100,0,11.7,-1.34648430551816
-100,0,11.8,-1.34037435155346
-100,0,11.9,-1.85229188779168
-100,0,12,-2.59170100775598
-100,0,12.1,-3.33133557223097
-100,0,12.2,-3.88821453510512
-100,0,12.3,-4.15618656398845
-100,0,12.4,-4.14021369809713
-100,0,12.5,-3.92813735658348
-100,0,12.6,-3.62480535116293
-100,0,12.7,-3.31100051450748
-100,0,12.8,-3.03955083025072
-100,0,12.9,-2.85050576098678
-100,0,13,-2.79803004307416
-100,0,13.1,-3.01528755861628
-100,0,13.2,-3.98018374748277
-100,0,13.3,-7.77273099804351
-100,0,13.4,-5.46933761284
-100,0,13.5,-1.81700137861091
-100,0,13.6,-1.02123931342821
-100,0,13.7,-0.755888221229432
-100,0,13.8,-0.625181682675319
-100,0,13.9,-0.54227890438052
-100,0,14,-0.481553567799194
-100,0,14.1,-0.433539057397024
-100,0,14.2,-0.39404495790691
-100,0,14.3,-0.360908098288611
-100,0,14.4,-0.332857249396976
-100,0,14.5,-0.309064299767585
-100,0,14.6,-0.28894766136774
-100,0,14.7,-0.272078113986764
-100,0,14.8,-0.258130010821792
-100,0,14.9,-0.246854267509175
-100,0,15,-0.238062745793233
-100,0,15.1,-0.231619256271988
-100,0,15.2,-0.227435013662754
-100,0,15.3,-0.225467782819097
-100,0,15.4,-0.225724972416065
